timestamp,num_faces,exit_stage,yolo_ms,insightface_ms,embedding_ms,identify_ms,liveness_ms,antispoof_ms,total_ms
2026-06-05 00:36:07,1,liveness_fail,97.67,232.55,0.09,0.16,0.28,,233.17
2026-06-05 00:36:08,1,success,79.76,207.3,0.03,0.1,0.23,135.35,354.54
2026-06-05 00:36:08,1,liveness_fail,47.38,207.86,0.02,0.1,0.16,,208.2
2026-06-05 00:36:09,1,liveness_fail,84.98,219.98,0.05,0.37,0.32,,220.77
2026-06-05 00:36:09,1,success,74.0,265.26,1.91,0.71,0.25,149.56,431.92
2026-06-05 00:36:09,1,liveness_fail,48.96,229.05,0.03,0.1,0.25,,229.54
2026-06-05 00:36:10,1,liveness_fail,79.1,210.24,0.02,0.1,0.14,,210.55
2026-06-05 00:36:10,1,liveness_fail,101.02,254.92,0.03,0.1,0.16,,255.28
2026-06-05 00:36:11,1,success,102.6,240.46,0.02,0.1,0.16,202.45,458.15
2026-06-05 00:36:11,1,liveness_fail,117.96,276.31,0.03,0.1,0.15,,276.64
2026-06-05 00:36:11,1,liveness_fail,115.61,264.46,0.02,0.1,0.31,,264.95
2026-06-05 00:36:12,1,liveness_fail,238.99,276.9,0.02,0.1,0.14,,277.24
2026-06-05 00:36:12,1,liveness_fail,137.08,261.87,0.02,0.22,0.15,,262.32
2026-06-05 00:36:13,1,success,112.04,239.06,0.02,0.1,0.28,148.46,422.29
2026-06-05 00:36:13,1,liveness_fail,50.28,273.85,0.05,0.11,0.17,,274.25
2026-06-05 00:36:14,1,liveness_fail,82.75,236.57,0.16,0.19,0.18,,237.17
2026-06-05 00:36:14,1,liveness_fail,137.97,463.63,0.04,0.12,0.27,,464.2
2026-06-05 00:36:15,1,liveness_fail,165.22,333.99,0.03,0.11,0.13,,334.31
2026-06-05 00:36:15,1,success,150.94,300.94,0.02,0.09,0.2,126.21,437.21
2026-06-05 00:36:16,1,liveness_fail,47.8,216.93,0.02,0.1,0.33,,217.49
2026-06-05 00:36:16,1,liveness_fail,78.74,213.4,0.05,0.14,0.21,,213.88
2026-06-05 00:36:16,1,liveness_fail,78.34,213.33,0.02,0.1,0.14,,213.66
2026-06-05 00:36:17,1,liveness_fail,89.3,233.85,0.03,0.1,0.16,,234.2
2026-06-05 00:36:17,1,success,86.49,229.85,0.02,0.08,0.16,155.33,401.14
2026-06-05 00:36:17,1,unknown,55.86,237.17,0.02,0.08,,,237.3
2026-06-05 00:36:18,1,unknown,86.12,256.78,0.03,0.1,,,256.94
2026-06-05 00:36:18,1,liveness_fail,67.13,215.86,0.03,0.1,0.21,,216.26
2026-06-05 00:36:18,1,liveness_fail,103.15,236.0,0.02,0.09,0.13,,236.28
2026-06-05 00:37:27,1,liveness_fail,45.69,559.95,0.09,0.18,0.23,,560.55
2026-06-05 00:37:28,1,liveness_fail,77.07,283.34,0.05,0.17,0.17,,283.8
2026-06-05 00:37:28,1,success,108.84,233.1,0.02,0.17,0.31,161.23,409.93
2026-06-05 00:37:28,1,liveness_fail,45.64,195.29,0.03,0.12,0.21,,195.71
2026-06-05 00:37:29,1,liveness_fail,85.75,247.36,0.02,0.24,0.17,,247.84
2026-06-05 00:37:29,1,liveness_fail,93.1,284.51,0.03,0.09,0.13,,284.81
2026-06-05 00:37:30,1,success,76.75,254.42,0.03,0.16,0.23,149.38,415.83
2026-06-05 00:37:30,1,liveness_fail,50.75,224.63,0.02,0.08,0.12,,224.9
2026-06-05 00:37:30,1,liveness_fail,63.94,188.3,0.02,0.1,0.17,,188.66
2026-06-05 00:37:30,1,liveness_fail,61.77,192.65,0.02,0.08,0.12,,192.92
2026-06-05 00:37:31,1,liveness_fail,65.73,206.22,0.03,0.56,0.19,,207.06
2026-06-05 00:37:31,1,success,63.9,265.8,0.02,0.14,0.26,138.53,419.26
2026-06-05 00:37:31,1,liveness_fail,44.25,168.08,0.02,0.25,0.16,,168.56
2026-06-05 00:37:32,1,success,73.89,199.32,0.02,0.09,0.15,121.11,339.79
2026-06-05 00:37:32,1,liveness_fail,55.48,265.84,0.02,0.1,0.2,,266.24
2026-06-05 00:37:33,1,liveness_fail,75.77,1076.56,0.02,0.08,0.12,,1076.82
2026-06-05 00:37:35,1,liveness_fail,169.65,1079.45,0.09,0.13,0.22,,1079.98
2026-06-05 00:37:35,1,liveness_fail,191.87,315.9,0.03,0.25,0.22,,316.52
2026-06-05 00:37:36,1,success,57.16,191.48,0.03,0.1,0.33,124.84,338.37
